Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Bonsucesso;2;0;0;60;650.0;350.0;
Apartamento;Campo Grande;2;1;0;50;780.0;120.0;
Apartamento;Campo Grande;2;0;0;50;700.0;;
Apartamento;Taquara;2;1;0;52;1100.0;672.0;
Apartamento;Engenho Novo;2;0;0;60;900.0;400.0;170.0
Apartamento;Campo Grande;2;0;0;55;900.0;350.0;
Apartamento;Vista Alegre;2;0;0;37;1100.0;;
Apartamento;Vila da Penha;2;1;0;85;1100.0;300.0;
Apartamento;Pechincha;2;1;0;78;1100.0;570.0;18.0
Apartamento;Freguesia (Jacarepaguá);2;1;0;60;1000.0;575.0;65.0
Apartamento;Cachambi;2;1;0;65;800.0;410.0;
Apartamento;Jacarepaguá;2;1;0;41;1100.0;550.0;
Apartamento;Campo Grande;2;1;0;48;720.0;;
Apartamento;Pechincha;2;1;0;50;1100.0;575.0;36.0
Apartamento;Realengo;2;1;0;52;700.0;390.0;
Apartamento;Cachambi;2;0;0;75;900.0;200.0;
Apartamento;Olaria;2;0;0;55;750.0;90.0;
Apartamento;Taquara;3;1;0;55;900.0;330.0;15.0
Apartamento;Vila Valqueire;2;0;0;60;800.0;330.0;14.0
Apartamento;Tomás Coelho;2;1;0;50;650.0;228.0;
Apartamento;Ilha do Governador;2;1;0;48;1100.0;395.0;24.0
Apartamento;Maracanã;2;0;0;60;950.0;620.0;20.0
Apartamento;Guadalupe;2;1;0;40;600.0;293.0;53.0
Apartamento;Campo Grande;2;0;0;50;600.0;;
Apartamento;Méier;2;0;0;46;800.0;507.0;13.0
Apartamento;Ramos;2;1;0;54;1100.0;230.0;
Apartamento;Jacarepaguá;2;0;1;73;1000.0;543.0;58.0
Apartamento;Olaria;2;1;0;74;900.0;605.0;
Apartamento;Campo Grande;2;1;0;47;600.0;330.0;
Apartamento;Campo Grande;2;1;0;45;750.0;75.0;
Apartamento;Taquara;2;0;0;55;900.0;298.0;13.0
Apartamento;Pilares;2;1;0;55;1000.0;209.0;
Apartamento;Méier;2;1;0;46;900.0;420.0;13.0
Apartamento;Campo Grande;2;0;0;60;750.0;;
Apartamento;Quintino Bocaiúva;2;1;0;55;600.0;360.0;
Apartamento;Campo Grande;2;1;0;55;800.0;;
